Rank,Player,3PA,Season
1.,James Harden,1028,2018-19
2.,Stephen Curry,886,2015-16
3.,James Harden,843,2019-20
4.,Stephen Curry,810,2018-19
5.,Stephen Curry,801,2020-21
6.,Stephen Curry,789,2016-17
7.,Paul George,757,2018-19
8.,James Harden,756,2016-17
9.,Stephen Curry,750,2021-22
10.,Kemba Walker,731,2018-19
&nbsp,Klay Thompson,731,2022-23
12.,James Harden,722,2017-18
13.,Buddy Hield,721,2020-21
14.,Buddy Hield,716,2021-22
15.,Damian Lillard,704,2020-21
16.,Buddy Hield,688,2019-20
17.,Jayson Tatum,686,2022-23
18.,George McCloud,678,1995-96
19.,Buddy Hield,677,2022-23
20.,Damian Lillard,674,2019-20
21.,Eric Gordon,661,2016-17
22.,Malik Beasley,658,2022-23
&nbsp,Damian Lillard,658,2022-23
24.,James Harden,657,2015-16
25.,Donovan Mitchell,654,2021-22
26.,Ray Allen*,653,2005-06
27.,Buddy Hield,651,2018-19
&nbsp,Jayson Tatum,651,2021-22
29.,Klay Thompson,650,2015-16
30.,Klay Thompson,647,2016-17
31.,Stephen Curry,646,2014-15
&nbsp,Isaiah Thomas,646,2016-17
33.,Antoine Walker,645,2001-02
34.,Damian Lillard,643,2018-19
35.,Fred VanVleet,642,2021-22
36.,Stephen Curry,639,2022-23
37.,Malik Beasley,637,2021-22
&nbsp,Jordan Poole,637,2022-23
39.,Julius Randle,636,2022-23
40.,D'Angelo Russell,635,2018-19
&nbsp,Donovan Mitchell,635,2022-23
42.,Quentin Richardson,631,2004-05
43.,Damian Lillard,629,2017-18
44.,Dennis Scott,628,1995-96
45.,Duncan Robinson,624,2021-22
46.,Mookie Blaylock,623,1995-96
47.,Evan Fournier,619,2021-22
48.,Stephen Curry,615,2013-14
49.,Duncan Robinson,613,2020-21
50.,John Starks,611,1994-95
51.,Damian Lillard,610,2015-16
&nbsp,Saddiq Bey,610,2021-22
&nbsp,Trae Young,610,2021-22
54.,Paul George,609,2017-18
55.,Eric Gordon,608,2017-18
56.,Duncan Robinson,606,2019-20
&nbsp,Fred VanVleet,606,2022-23
58.,J.J. Redick,605,2018-19
59.,Mookie Blaylock,604,1996-97
60.,Antoine Walker,603,2000-01
61.,Kemba Walker,602,2016-17
&nbsp,Anthony Edwards,602,2021-22
63.,Kemba Walker,601,2017-18
64.,Stephen Curry,600,2012-13
&nbsp,Eric Gordon,600,2018-19
66.,Jason Richardson,599,2007-08
&nbsp,Klay Thompson,599,2018-19
&nbsp,Jordan Clarkson,599,2020-21
69.,Jordan Clarkson,597,2021-22
70.,Kyle Lowry,596,2017-18
&nbsp,Bradley Beal,596,2018-19
72.,Terry Rozier,593,2021-22
73.,Tim Hardaway*,590,1996-97
74.,Devonte' Graham,585,2019-20
75.,Gilbert Arenas,584,2006-07
76.,Russell Westbrook,583,2016-17
77.,Antoine Walker,582,2002-03
&nbsp,Baron Davis,582,2003-04
79.,Jordan Poole,580,2021-22
80.,Damian Lillard,579,2016-17
&nbsp,Wayne Ellington,579,2017-18
82.,Anthony Edwards,578,2022-23
83.,Damian Lillard,572,2014-15
84.,Terry Rozier,571,2020-21
85.,Luka Dončić,569,2021-22
86.,Trae Young,568,2019-20
&nbsp,Patty Mills,568,2021-22
88.,Paul George,566,2015-16
&nbsp,Terrence Ross,566,2018-19
90.,LaMelo Ball,565,2021-22
91.,Michael Adams,564,1990-91
92.,Devonte' Graham,563,2021-22
&nbsp,Max Strus,563,2022-23
94.,Gilbert Arenas,562,2004-05
&nbsp,Anfernee Simons,562,2022-23
96.,Kyle Korver,558,2004-05
97.,Ryan Anderson,557,2012-13
98.,Ray Allen*,556,2004-05
99.,Mookie Blaylock,555,1994-95
&nbsp,Trevor Ariza,555,2014-15
&nbsp,James Harden,555,2014-15
&nbsp,Trevor Ariza,555,2016-17
103.,Peja Stojaković,554,2003-04
&nbsp,Rashard Lewis,554,2008-09
&nbsp,Damian Lillard,554,2013-14
&nbsp,Jalen Green,554,2022-23
107.,Rashard Lewis,553,2007-08
&nbsp,Kelly Oubre Jr.,553,2021-22
109.,Louie Dampier*,552,1968-69
&nbsp,Bradley Beal,552,2016-17
111.,Robert Covington,550,2017-18
&nbsp,Donovan Mitchell,550,2017-18
&nbsp,Tim Hardaway Jr.,550,2022-23
114.,Louie Dampier*,548,1969-70
&nbsp,Dan Majerle,548,1994-95
&nbsp,Luka Dončić,548,2020-21
117.,Kyle Lowry,547,2015-16
118.,Klay Thompson,545,2014-15
&nbsp,Gary Trent Jr.,545,2021-22
120.,Zach LaVine,544,2022-23
121.,CJ McCollum,543,2022-23
122.,Luka Dončić,541,2019-20
&nbsp,Luka Dončić,541,2022-23
124.,Gilbert Arenas,540,2005-06
125.,Tyler Herro,537,2022-23
126.,Reggie Miller*,536,1996-97
127.,Klay Thompson,535,2013-14
128.,Ray Allen*,533,2002-03
129.,Allen Crabbe,532,2017-18
130.,Bradley Beal,530,2017-18
131.,Rafer Alston,529,2006-07
&nbsp,Tim Hardaway Jr.,529,2020-21
133.,Dale Ellis,528,1996-97
&nbsp,Ray Allen*,528,2001-02
135.,Klay Thompson,526,2012-13
136.,Baron Davis,525,2007-08
&nbsp,Aaron Brooks,525,2009-10
&nbsp,Wesley Matthews,525,2015-16
139.,Peja Stojaković,524,2007-08
140.,Chico Vaughn,523,1968-69
&nbsp,Desmond Bane,523,2021-22
142.,Jae Crowder,522,2018-19
&nbsp,Blake Griffin,522,2018-19
144.,Jamal Crawford,521,2003-04
&nbsp,Damon Jones,521,2004-05
&nbsp,Klay Thompson,521,2017-18
147.,Gary Payton*,520,1999-00
&nbsp,Paul Pierce*,520,2001-02
&nbsp,Anthony Edwards,520,2020-21
150.,Donovan Mitchell,519,2018-19
151.,Kobe Bryant*,518,2005-06
&nbsp,Lou Williams,518,2017-18
&nbsp,D'Angelo Russell,518,2021-22
154.,Tim Hardaway*,517,2000-01
155.,Dorell Wright,516,2010-11
156.,Mitch Richmond*,515,1995-96
157.,Luka Dončić,514,2018-19
158.,Tracy McGrady*,513,2003-04
&nbsp,Tim Hardaway Jr.,513,2019-20
160.,Jamal Crawford,512,2004-05
&nbsp,Brook Lopez,512,2018-19
&nbsp,CJ McCollum,512,2019-20
&nbsp,Reggie Jackson,512,2021-22
164.,Nick Van Exel,511,1994-95
&nbsp,Wesley Matthews,511,2013-14
&nbsp,Lauri Markkanen,511,2022-23
167.,Vernon Maxwell,510,1990-91
&nbsp,Gerald Green,510,2013-14
&nbsp,J.R. Smith,510,2015-16
&nbsp,Kevin Huerter,510,2022-23
171.,Ryan Anderson,506,2016-17
172.,Jason Williams,505,1999-00
&nbsp,Kevin Love,505,2013-14
&nbsp,Terry Rozier,505,2022-23
175.,Terrence Ross,504,2019-20
176.,Dan Majerle,503,1993-94
&nbsp,Damian Lillard,503,2012-13
178.,Stephen Jackson,501,2007-08
&nbsp,Stephen Curry,501,2017-18
&nbsp,Keegan Murray,501,2022-23
181.,Paul George,500,2013-14
&nbsp,Kyle Lowry,500,2013-14
183.,Trevor Ariza,499,2015-16
184.,Mike Miller,498,2006-07
&nbsp,Randy Foye,498,2013-14
186.,Mike Bibby,497,2005-06
&nbsp,Trey Murphy III,497,2022-23
188.,Damon Stoudamire,496,1996-97
&nbsp,Raja Bell,496,2006-07
&nbsp,Paul George,496,2016-17
&nbsp,Kyrie Irving,496,2022-23
192.,Jamal Crawford,494,2007-08
193.,Kevin Durant,491,2013-14
194.,Damon Stoudamire,490,2004-05
&nbsp,Kemba Walker,490,2015-16
&nbsp,Spencer Dinwiddie,490,2022-23
&nbsp,D'Angelo Russell,490,2022-23
198.,Danilo Gallinari,488,2009-10
199.,Jaylen Brown,487,2022-23
200.,Ray Allen*,486,2008-09
&nbsp,James Harden,486,2012-13
202.,Isaiah Canaan,485,2015-16
&nbsp,Jayson Tatum,485,2020-21
204.,Zach LaVine,484,2019-20
205.,James Harden,483,2013-14
&nbsp,Joe Ingles,483,2018-19
207.,Robert Covington,482,2015-16
&nbsp,Trae Young,482,2018-19
&nbsp,Justin Holiday,482,2021-22
210.,Mike Bibby,481,2006-07
&nbsp,Kevin Durant,481,2015-16
&nbsp,Bradley Beal,481,2019-20
&nbsp,Kyle Kuzma,481,2022-23
214.,J.R. Smith,480,2013-14
&nbsp,Robert Covington,480,2019-20
216.,Eddie Jones,479,2003-04
&nbsp,Jason Richardson,479,2010-11
&nbsp,Wesley Matthews,479,2016-17
219.,Baron Davis,478,2001-02
&nbsp,Devin Booker,478,2021-22
221.,Mitch Richmond*,477,1996-97
&nbsp,Jason Richardson,477,2005-06
&nbsp,Tim Hardaway Jr.,477,2018-19
&nbsp,Devonte' Graham,477,2020-21
&nbsp,Zach LaVine,477,2020-21
&nbsp,Kevin Love,477,2021-22
227.,CJ McCollum,476,2017-18
&nbsp,Fred VanVleet,476,2020-21
229.,Zach LaVine,475,2021-22
230.,Carmelo Anthony,474,2017-18
&nbsp,Khris Middleton,474,2018-19
232.,Vernon Maxwell,473,1991-92
&nbsp,Jerry Stackhouse,473,2000-01
&nbsp,Donovan Mitchell,473,2019-20
&nbsp,Kemba Walker,473,2019-20
236.,CJ McCollum,472,2015-16
&nbsp,Dāvis Bertāns,472,2019-20
238.,Clifford Robinson,471,1995-96
&nbsp,Reggie Jackson,471,2018-19
240.,Reggie Miller*,470,1994-95
&nbsp,Al Harrington,470,2008-09
242.,Paul George,469,2012-13
&nbsp,Jayson Tatum,469,2019-20
&nbsp,CJ McCollum,469,2021-22
245.,Lindsey Hunter,468,1996-97
&nbsp,Nick Van Exel,468,1996-97
&nbsp,Kyle Lowry,468,2016-17
&nbsp,J.J. Redick,468,2016-17
&nbsp,Bojan Bogdanović,468,2021-22
250.,Ray Allen*,467,2000-01
&nbsp,J.R. Smith,467,2009-10
&nbsp,Kobe Bryant*,467,2015-16
